Total packets,72588
,Protocol,Count
,ARP,24
,BOOTP,77
,DATA,55
,DATA-TEXT-LINES,70
,DB-LSP-DISC,31
,DNS,736
,EAPOL,9
,HTTP,1122
,IGMP,10
,IMAGE-GIF,75
,IMAGE-JFIF,32
,JSON,137
,MDNS,69
,MEDIA,32
,PNG,7
,SSL,13550
,TCP,56439
,URLENCODED-FORM,4
,XML,99
,_WS.MALFORMED,10

,Protocol,Percent
,ARP,0.0330633162506
,BOOTP,0.106078139637
,DATA,0.075770099741
,DATA-TEXT-LINES,0.0964346723976
,DB-LSP-DISC,0.0427067834904
,DNS,1.01394169835
,EAPOL,0.012398743594
,HTTP,1.54571003472
,IGMP,0.0137763817711
,IMAGE-GIF,0.103322863283
,IMAGE-JFIF,0.0440844216675
,IMAGE-GIF,54.208.141.19,192.168.2.3,1
,IMAGE-GIF,54.209.135.44,192.168.2.3,4
,IMAGE-GIF,54.231.112.48,192.168.2.3,1
,IMAGE-GIF,54.239.22.175,192.168.2.3,1
,IMAGE-GIF,54.243.236.98,192.168.2.3,5
,IMAGE-GIF,63.117.14.86,192.168.2.3,1
,IMAGE-GIF,63.117.68.23,192.168.2.3,1
,IMAGE-GIF,72.30.2.182,192.168.2.3,1
,IMAGE-GIF,74.217.63.59,192.168.2.3,1
,IMAGE-GIF,77.72.116.213,192.168.2.3,1
,IMAGE-GIF,8.43.72.24,192.168.2.3,1
,IMAGE-GIF,8.43.72.71,192.168.2.3,1
,IMAGE-JFIF,172.229.228.216,192.168.2.3,1
,IMAGE-JFIF,172.229.233.57,192.168.2.3,1
,IMAGE-JFIF,184.26.44.105,192.168.2.3,1
,IMAGE-JFIF,52.84.125.136,192.168.2.3,5
,JSON,157.166.239.60,192.168.2.3,1
,JSON,192.168.2.3,176.32.103.187,1
,JSON,23.235.39.81,192.168.2.3,1
,JSON,52.38.49.76,192.168.2.3,112
,JSON,52.84.122.135,192.168.2.3,1
,JSON,52.89.181.40,192.168.2.3,1
,JSON,52.9.92.185,192.168.2.3,1
,JSON,54.239.23.139,192.168.2.3,3
,JSON,64.74.232.43,192.168.2.3,1
,MDNS,169.254.5.21,224.0.0.251,6
,MDNS,192.168.2.1,224.0.0.251,6
,MDNS,192.168.2.3,224.0.0.251,45
,MEDIA,104.16.27.190,192.168.2.3,1
,MEDIA,157.166.238.237,192.168.2.3,1
,MEDIA,157.166.249.67,192.168.2.3,2
,MEDIA,172.229.209.43,192.168.2.3,1
,MEDIA,172.229.222.223,192.168.2.3,1
,MEDIA,184.26.44.105,192.168.2.3,1
,MEDIA,184.73.158.180,192.168.2.3,1
,MEDIA,192.168.2.3,207.171.162.253,1
,MEDIA,199.27.76.68,192.168.2.3,6
,MEDIA,207.171.162.253,192.168.2.3,1
,MEDIA,209.197.3.7,192.168.2.3,1
,MEDIA,52.1.145.160,192.168.2.3,2
,MEDIA,52.20.246.43,192.168.2.3,1
,MEDIA,52.86.8.246,192.168.2.3,1
,MEDIA,54.210.137.122,192.168.2.3,1
,MEDIA,54.231.8.137,192.168.2.3,1
,MEDIA,74.120.148.193,192.168.2.3,1
,PNG,172.229.214.12,192.168.2.3,1
,PNG,172.229.228.216,192.168.2.3,1
,PNG,52.84.122.135,192.168.2.3,2
,SSL,104.244.43.71,192.168.2.3,6
,SSL,138.108.6.20,192.168.2.3,19
,SSL,157.52.75.7,192.168.2.3,6
,SSL,162.208.22.74,192.168.2.3,4
,SSL,162.208.22.76,192.168.2.3,1
,SSL,172.217.1.66,192.168.2.3,30
,SSL,172.217.2.1,192.168.2.3,11
,SSL,172.217.2.14,192.168.2.3,6
,SSL,172.217.2.8,192.168.2.3,5
,SSL,172.217.3.6,192.168.2.3,3
,SSL,172.217.4.193,192.168.2.3,16
,SSL,172.217.4.194,192.168.2.3,107
,SSL,172.217.4.205,192.168.2.3,33
,SSL,172.217.4.46,192.168.2.3,13
,SSL,172.217.4.70,192.168.2.3,40
,SSL,172.217.5.1,192.168.2.3,45
,SSL,172.217.5.10,192.168.2.3,15
,SSL,172.217.5.2,192.168.2.3,15
