(highest, src_addr, src_port, dst_addr, dst_port): count
(DNS, 192.168.2.3, 8373, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 8083): 1
(DNS, 192.168.2.3, 62099, 192.168.2.1, 53): 1
(TCP, 172.217.4.33, 443, 192.168.2.3, 41138): 5
(TCP, 216.58.219.194, 443, 192.168.2.3, 48150): 3
(SSL, 192.168.2.3, 41759, 216.58.219.206, 443): 7
(SSL, 192.168.2.3, 60942, 172.217.2.13, 443): 2
(TCP, 172.217.3.14, 443, 192.168.2.3, 34881): 7
(SSL, 172.217.4.78, 443, 192.168.2.3, 41272): 100
(DATA-TEXT-LINES, 54.243.146.37, 80, 192.168.2.3, 48916): 1
(HTTP, 192.168.2.3, 53859, 172.229.228.216, 80): 2
(DATA-TEXT-LINES, 31.13.71.7, 80, 192.168.2.3, 36111): 2
(TCP, 192.168.2.3, 53228, 23.235.46.81, 80): 27
(DNS, 192.168.2.3, 55812, 192.168.2.1, 53): 1
(SSL, 216.58.219.225, 443, 192.168.2.3, 52059): 9
(SSL, 192.168.2.3, 50275, 216.58.219.206, 443): 3
(SSL, 207.171.162.130, 443, 192.168.2.3, 41068): 5
(SSL, 172.217.3.14, 443, 192.168.2.3, 50906): 4
(DNS, 192.168.2.3, 13946, 192.168.2.1, 53): 1
(SSL, 192.168.2.3, 39781, 176.32.103.187, 443): 3
(TCP, 192.168.2.3, 48163, 52.84.121.108, 443): 8
(SSL, 192.168.2.3, 42574, 172.217.2.10, 443): 7
(DNS, 192.168.2.3, 65079, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 60283, 172.217.5.14, 443): 1
(TCP, 172.217.5.14, 443, 192.168.2.3, 60283): 1
(TCP, 52.84.121.108, 443, 192.168.2.3, 42776): 6
(TCP, 172.217.2.1, 443, 192.168.2.3, 35817): 10
(SSL, 216.58.219.234, 443, 192.168.2.3, 34473): 5
(HTTP, 63.88.100.139, 80, 192.168.2.3, 37477): 1
(SSL, 172.217.2.13, 443, 192.168.2.3, 60948): 15
(SSL, 172.217.5.14, 443, 192.168.2.3, 44121): 5
(DATA-TEXT-LINES, 172.229.233.57, 80, 192.168.2.3, 47362): 2
(SSL, 63.117.68.16, 443, 192.168.2.3, 52734): 124
(TCP, 192.168.2.3, 34881, 172.217.3.14, 443): 11
(DNS, 192.168.2.1, 53, 192.168.2.3, 39728): 1
(IMAGE-GIF, 216.58.219.198, 80, 192.168.2.3, 34090): 1
(TCP, 192.168.2.3, 44536, 173.192.220.64, 80): 4
(DNS, 192.168.2.3, 9568, 192.168.2.1, 53): 1
(SSL, 192.168.2.3, 34881, 172.217.3.14, 443): 6
(HTTP, 192.168.2.3, 44335, 54.175.226.36, 80): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 46688): 1
(DNS, 192.168.2.3, 14915, 192.168.2.1, 53): 1
(TCP, 172.229.210.55, 80, 192.168.2.3, 35379): 5
(DNS, 192.168.2.1, 53, 192.168.2.3, 61673): 1
(TCP, 31.13.71.36, 443, 192.168.2.3, 50481): 3
(HTTP, 192.168.2.3, 47564, 172.229.233.57, 80): 3
(TCP, 192.168.2.3, 44537, 173.192.220.64, 80): 7
(DNS, 192.168.2.3, 39223, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 55604): 1
(DATA-TEXT-LINES, 23.23.172.6, 80, 192.168.2.3, 46325): 2
(TCP, 192.168.2.3, 40399, 128.118.155.211, 80): 130
(SSL, 192.168.2.3, 41138, 172.217.4.33, 443): 5
(TCP, 192.168.2.3, 46855, 23.38.106.99, 443): 9
(TCP, 72.21.211.0, 80, 192.168.2.3, 42846): 2
(HTTP, 192.168.2.3, 49755, 54.243.111.133, 80): 1
(TCP, 23.37.13.125, 80, 192.168.2.3, 38825): 2
(DNS, 192.168.2.1, 53, 192.168.2.3, 30356): 1
(DNS, 192.168.2.3, 42640, 192.168.2.1, 53): 1
(DATA-TEXT-LINES, 172.229.214.12, 80, 192.168.2.3, 56135): 1
(SSL, 192.168.2.3, 55113, 172.217.4.33, 443): 4
(SSL, 192.168.2.3, 39161, 172.217.4.33, 443): 4
(HTTP, 192.168.2.3, 56134, 172.229.214.12, 80): 1
