Total packets,82439
,Protocol,Count
,ARP,50
,BOOTP,136
,DATA,60
,DATA-TEXT-LINES,86
,DNS,552
,EAPOL,12
,HTTP,362
,IGMP,9
,IMAGE-GIF,33
,IMAGE-JFIF,50
,JSON,15
,MDNS,34
,MEDIA,68
,MP4,2
,PNG,16
,SSL,17878
,TCP,63047
,URLENCODED-FORM,6
,XML,8
,_WS.MALFORMED,15

,Protocol,Percent
,ARP,0.060650905518
,BOOTP,0.164970463009
,DATA,0.0727810866216
,DATA-TEXT-LINES,0.104319557491
,DNS,0.669585996919
,EAPOL,0.0145562173243
,HTTP,0.43911255595
,IGMP,0.0109171629932
,IMAGE-GIF,0.0400295976419
,IMAGE-JFIF,0.060650905518
,JSON,0.0181952716554
,HTTP,192.168.2.3,64.202.112.13,1
,HTTP,192.168.2.3,65.202.58.88,1
,HTTP,192.168.2.3,66.152.183.173,1
,HTTP,192.168.2.3,66.235.153.36,2
,HTTP,192.168.2.3,72.21.211.0,6
,HTTP,192.168.2.3,72.21.91.8,1
,HTTP,192.168.2.3,72.247.8.178,1
,HTTP,192.168.2.3,74.119.118.100,3
,HTTP,192.168.2.3,74.120.148.195,1
,HTTP,192.168.2.3,74.201.198.71,1
,HTTP,192.168.2.3,77.72.116.213,1
,HTTP,192.168.2.3,92.242.140.21,1
,HTTP,192.168.2.3,96.6.113.35,1
,HTTP,199.27.76.73,192.168.2.3,1
,HTTP,212.58.244.115,192.168.2.3,1
,HTTP,23.21.94.93,192.168.2.3,1
,HTTP,52.73.132.68,192.168.2.3,1
,HTTP,54.239.22.50,192.168.2.3,1
,HTTP,54.239.23.147,192.168.2.3,1
,HTTP,54.243.146.37,192.168.2.3,1
,HTTP,63.88.100.139,192.168.2.3,1
,HTTP,66.235.153.36,192.168.2.3,2
,HTTP,72.21.211.0,192.168.2.3,6
,HTTP,92.242.140.21,192.168.2.3,1
,IMAGE-GIF,138.108.6.20,192.168.2.3,1
,IMAGE-GIF,138.108.7.20,192.168.2.3,1
,IMAGE-GIF,172.217.3.2,192.168.2.3,1
,IMAGE-GIF,172.229.214.12,192.168.2.3,1
,IMAGE-GIF,173.192.220.64,192.168.2.3,1
,IMAGE-GIF,199.16.156.11,192.168.2.3,1
,IMAGE-GIF,199.27.76.73,192.168.2.3,1
,IMAGE-GIF,212.58.246.106,192.168.2.3,1
,IMAGE-GIF,216.58.219.198,192.168.2.3,1
,IMAGE-GIF,52.33.219.196,192.168.2.3,1
,IMAGE-GIF,54.148.184.23,192.168.2.3,1
,IMAGE-GIF,54.192.54.206,192.168.2.3,1
,IMAGE-GIF,54.235.195.128,192.168.2.3,3
,IMAGE-GIF,54.236.84.167,192.168.2.3,2
,IMAGE-GIF,54.239.23.147,192.168.2.3,1
,IMAGE-GIF,54.239.26.167,192.168.2.3,1
,IMAGE-GIF,54.240.190.172,192.168.2.3,1
,IMAGE-GIF,54.84.63.59,192.168.2.3,4
,IMAGE-GIF,63.117.14.218,192.168.2.3,1
,IMAGE-GIF,63.88.100.139,192.168.2.3,1
,IMAGE-GIF,63.88.100.154,192.168.2.3,1
,IMAGE-GIF,77.72.116.213,192.168.2.3,1
,IMAGE-JFIF,104.20.40.8,192.168.2.3,1
,IMAGE-JFIF,128.118.155.211,192.168.2.3,1
,IMAGE-JFIF,172.229.228.216,192.168.2.3,2
,IMAGE-JFIF,172.229.233.57,192.168.2.3,1
,IMAGE-JFIF,184.26.44.104,192.168.2.3,2
,IMAGE-JFIF,199.27.76.73,192.168.2.3,1
,IMAGE-JFIF,54.240.190.108,192.168.2.3,14
,IMAGE-JFIF,72.247.8.178,192.168.2.3,1
,JSON,157.166.248.229,192.168.2.3,1
,JSON,192.168.2.3,54.239.26.167,1
,JSON,207.171.162.163,192.168.2.3,3
